mean_of_mean_performance,number_of_monthly_predictions,combined_metric,mean_monthly_corpus_return,std_monthly_corpus_return,min_monthly_corpus_return,max_monthly_corpus_return,median_monthly_corpus_return,mode_monthly_corpus_return,k_percent
-0.006690597769563369,38.71666666666667,-0.19568421112515277,-0.003287214912362146,0.02745330957637201,-0.08466672633023509,0.05385784944036298,-0.0009389646017698983,0.0,1.0
-0.006690597769563369,38.71666666666667,-0.19568421112515277,-0.003287214912362146,0.02745330957637201,-0.08466672633023509,0.05385784944036298,-0.0009389646017698983,0.0,1.5
-0.006690597769563369,38.71666666666667,-0.19568421112515277,-0.003287214912362146,0.02745330957637201,-0.08466672633023509,0.05385784944036298,-0.0009389646017698983,0.0,2.0
-0.0027391598907776896,52.75,-0.1402820369380077,-0.002412026241852478,0.02834525297778385,-0.08155116080505054,0.07700919384541205,-0.002032301796905056,0.0,2.5
-0.0012627202805107244,72.06666666666666,-0.07782591771651162,0.003227045026267382,0.03704094323053584,-0.08155116080505054,0.10746317011989714,0.0020848751463569126,-0.08155116080505054,3.0
-0.001156612560381228,78.78333333333333,-0.08231880905562296,0.004108427470226743,0.03811591490800169,-0.08155116080505054,0.10746317011989714,0.0020848751463569126,-0.08155116080505054,3.5
-0.001156612560381228,78.78333333333333,-0.08231880905562296,0.004108427470226743,0.03811591490800169,-0.08155116080505054,0.10746317011989714,0.0020848751463569126,-0.08155116080505054,4.0
-0.001156612560381228,78.78333333333333,-0.08231880905562296,0.004108427470226743,0.03811591490800169,-0.08155116080505054,0.10746317011989714,0.0020848751463569126,-0.08155116080505054,4.5
-0.0019104664034633042,84.16666666666667,-0.1323950353959857,0.005843534600397829,0.04474997951292965,-0.07925738659090786,0.1819072391339911,0.001956645527733114,-0.07925738659090786,5.0
-0.0021254488745652677,85.53333333333333,-0.12600770190928978,0.0051079389623745735,0.044956490694379354,-0.07925738659090786,0.1819072391339911,0.0017849451311934272,-0.07925738659090786,5.5
0.0008417376897524167,103.25,-0.09257821170393175,0.006384910859763978,0.04543694991146085,-0.07925738659090786,0.1819072391339911,0.0008352533279409879,-0.07925738659090786,6.0
0.0009329163819531059,106.03333333333333,-0.09138434028130842,0.006360007807753156,0.04533824731772638,-0.07925738659090786,0.1819072391339911,0.001792816254151286,-0.07925738659090786,6.5
0.0008131145341864958,108.95,-0.08935813059265478,0.006287206345374848,0.045378634699129644,-0.07925738659090786,0.1819072391339911,0.001792816254151286,-0.07925738659090786,7.0
0.000758959219730471,111.33333333333333,-0.10375155013058897,0.006135477919322166,0.04530154828419759,-0.08052892008172607,0.1819072391339911,0.001792816254151286,-0.08052892008172607,7.5
0.0006166410648378468,111.63333333333334,-0.12568100812241687,0.005921327587817536,0.045119623907119766,-0.08052892008172607,0.1819072391339911,0.001792816254151286,-0.08052892008172607,8.0
0.000818895119567745,112.06666666666666,-0.12318885864529813,0.006393300777408855,0.04513565784036362,-0.08052892008172607,0.1819072391339911,0.0017564014926833016,-0.08052892008172607,8.5
0.0008415496717132181,115.93333333333334,-0.06712760324711424,0.0050568353155219644,0.04315720465724871,-0.08052892008172607,0.1819072391339911,0.002437246429023876,-0.08052892008172607,9.0
0.0008139566518138639,116.4,-0.07772597956695469,0.005037239725010802,0.04318105359882211,-0.08052892008172607,0.1819072391339911,0.002437246429023876,-0.08052892008172607,9.5
0.0008042015846449997,118.46666666666667,-0.08947233775316371,0.004345601211821983,0.043635579736325966,-0.08703049940431995,0.1819072391339911,0.001950245767250558,-0.08703049940431995,10.0
